               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.072858,            0.023256,            0.029578,             0.49337,              0.3816,             0.33577,             0.17224,             0.04144,           0.0062052,            0.015246,            0.070072,           0.0033253,           0.0033253
                   1,            0.051614,            0.016846,            0.010713,             0.70869,             0.53978,             0.55355,             0.30154,            0.040407,           0.0052118,           0.0085657,            0.039941,           0.0065268,           0.0065268
                   2,            0.048541,            0.015661,           0.0076111,             0.65646,             0.49859,             0.55001,             0.30807,            0.039646,           0.0059429,            0.010855,           0.0096768,           0.0095963,           0.0095963
                   3,            0.047015,            0.016116,           0.0067907,             0.75849,             0.43023,             0.47997,             0.29639,            0.036204,           0.0065907,            0.015392,            0.009406,            0.009406,            0.009406
                   4,            0.043785,            0.015602,           0.0061316,             0.62235,             0.57158,             0.59031,             0.37827,            0.031936,           0.0057603,           0.0085053,            0.009406,            0.009406,            0.009406
                   5,            0.041491,            0.015497,           0.0059945,             0.75417,             0.50979,              0.5722,             0.38265,            0.033714,           0.0056808,            0.013296,            0.009208,            0.009208,            0.009208
                   6,            0.040182,            0.015082,           0.0049898,             0.77805,              0.5417,             0.58634,             0.39974,            0.033375,           0.0055755,           0.0097259,             0.00901,             0.00901,             0.00901
                   7,            0.037834,            0.014381,           0.0042681,             0.78154,             0.60792,             0.64504,             0.42669,            0.031543,           0.0051643,            0.015961,            0.008812,            0.008812,            0.008812
                   8,            0.036939,            0.014101,           0.0039766,             0.78691,             0.58326,             0.58715,             0.40798,            0.031972,           0.0054806,            0.013296,            0.008614,            0.008614,            0.008614
                   9,            0.035943,            0.013727,           0.0034998,             0.69876,             0.63923,             0.66938,             0.47231,            0.033115,           0.0054697,            0.013863,            0.008416,            0.008416,            0.008416
                  10,            0.035353,            0.013613,           0.0031292,             0.69036,             0.66485,              0.6813,             0.47579,            0.029588,           0.0050517,           0.0064692,            0.008218,            0.008218,            0.008218
                  11,              0.0341,            0.013297,           0.0030355,              0.8237,             0.60335,             0.66861,             0.46112,            0.032285,           0.0050471,           0.0039897,             0.00802,             0.00802,             0.00802
                  12,            0.034026,            0.013135,           0.0029243,             0.79827,             0.67043,             0.70929,             0.49134,            0.028948,           0.0048191,           0.0072326,            0.007822,            0.007822,            0.007822
                  13,            0.033085,            0.012751,           0.0028458,             0.76268,              0.6707,             0.70031,             0.50005,            0.030209,           0.0050382,           0.0084689,            0.007624,            0.007624,            0.007624
                  14,            0.032761,            0.012956,           0.0031154,             0.68534,             0.66593,             0.65889,             0.47321,            0.029054,            0.004933,            0.014256,            0.007426,            0.007426,            0.007426
                  15,            0.032426,            0.012722,           0.0026658,             0.83191,             0.65143,             0.69513,             0.50513,            0.030819,           0.0049594,            0.013133,            0.007228,            0.007228,            0.007228
                  16,            0.031597,            0.012473,           0.0022954,             0.78613,             0.62969,             0.68182,             0.48403,            0.029692,           0.0050007,           0.0074038,             0.00703,             0.00703,             0.00703
                  17,            0.031051,            0.012327,           0.0022123,             0.78533,             0.68843,             0.72615,             0.52863,             0.03141,           0.0047325,           0.0092763,            0.006832,            0.006832,            0.006832
                  18,             0.03118,            0.012205,           0.0023957,              0.8039,             0.68463,             0.71082,             0.50386,            0.029339,           0.0048013,           0.0066545,            0.006634,            0.006634,            0.006634
                  19,            0.030609,            0.012274,           0.0021325,             0.85042,             0.68644,             0.74447,             0.54505,            0.028379,           0.0046039,           0.0064908,            0.006436,            0.006436,            0.006436
                  20,            0.030314,            0.011987,            0.001918,             0.75749,             0.77251,             0.78392,             0.56162,             0.02684,           0.0046578,            0.010437,            0.006238,            0.006238,            0.006238
                  21,            0.029096,            0.011764,           0.0017699,             0.77959,             0.69069,             0.72204,             0.52323,            0.026843,           0.0046488,           0.0084742,             0.00604,             0.00604,             0.00604
                  22,            0.029525,            0.011695,           0.0017495,             0.77733,             0.71555,             0.72721,             0.54078,            0.026423,           0.0047896,            0.011591,            0.005842,            0.005842,            0.005842
                  23,            0.029164,            0.011687,           0.0018601,             0.86648,             0.68763,             0.73533,              0.5453,            0.028178,            0.004702,            0.012021,            0.005644,            0.005644,            0.005644
                  24,            0.028471,            0.011558,           0.0015949,              0.7444,             0.71411,             0.71659,             0.53761,            0.030495,           0.0045929,            0.012638,            0.005446,            0.005446,            0.005446
                  25,            0.028293,            0.011517,           0.0016183,             0.86167,             0.70011,             0.75162,             0.55077,             0.02799,           0.0045571,           0.0071772,            0.005248,            0.005248,            0.005248
                  26,            0.028413,            0.011337,           0.0017262,             0.81247,             0.72364,             0.78308,             0.55914,            0.025597,           0.0044188,           0.0052376,             0.00505,             0.00505,             0.00505
                  27,            0.027717,            0.011345,           0.0017781,             0.80844,             0.71191,             0.75973,             0.57134,            0.028169,           0.0046604,            0.010848,            0.004852,            0.004852,            0.004852
                  28,            0.027273,            0.011157,           0.0014496,             0.81633,             0.73885,             0.78986,             0.58816,             0.02645,            0.004581,           0.0084331,            0.004654,            0.004654,            0.004654
                  29,            0.027057,             0.01113,           0.0012238,             0.86125,             0.73017,             0.80108,             0.58347,            0.025992,           0.0044663,            0.008099,            0.004456,            0.004456,            0.004456
                  30,            0.026867,            0.010965,           0.0012148,             0.78146,             0.76536,             0.81245,             0.59158,            0.026747,           0.0043879,            0.010379,            0.004258,            0.004258,            0.004258
                  31,            0.026544,             0.01083,           0.0012171,             0.88735,             0.73508,              0.7907,             0.58487,            0.026638,           0.0044736,           0.0098495,             0.00406,             0.00406,             0.00406
                  32,            0.026041,            0.010871,             0.00136,             0.83852,             0.79138,             0.80601,             0.59212,            0.024921,           0.0043063,           0.0033179,            0.003862,            0.003862,            0.003862
                  33,            0.025446,            0.010817,           0.0010582,             0.88431,             0.77196,             0.81581,             0.59568,            0.025609,           0.0042125,             0.00354,            0.003664,            0.003664,            0.003664
                  34,            0.025148,            0.010742,           0.0010362,              0.7961,             0.79738,              0.8171,              0.5967,            0.024834,           0.0043127,            0.007144,            0.003466,            0.003466,            0.003466
                  35,            0.025214,            0.010663,          0.00092754,             0.78769,             0.77617,             0.79908,             0.59721,               0.026,           0.0041871,           0.0077563,            0.003268,            0.003268,            0.003268
                  36,            0.024591,            0.010466,            0.001054,             0.84995,             0.75261,             0.81975,             0.60553,            0.025436,           0.0043504,           0.0082507,             0.00307,             0.00307,             0.00307
                  37,            0.025357,            0.010524,          0.00087645,             0.86323,             0.79267,             0.84992,             0.63098,            0.025221,            0.004299,           0.0083745,            0.002872,            0.002872,            0.002872
                  38,            0.023863,             0.01036,          0.00091994,             0.87218,             0.78225,             0.84424,             0.62167,            0.027091,           0.0042058,           0.0058282,            0.002674,            0.002674,            0.002674
                  39,            0.023991,            0.010288,          0.00085293,             0.84514,             0.80289,             0.83645,              0.6177,            0.025445,           0.0041608,           0.0042661,            0.002476,            0.002476,            0.002476
                  40,            0.023652,             0.01037,          0.00088525,             0.87727,             0.77107,             0.83062,             0.62468,            0.026459,           0.0042309,           0.0041895,            0.002278,            0.002278,            0.002278
                  41,            0.023435,            0.010248,          0.00079959,             0.85023,             0.75927,             0.81379,             0.61542,            0.026036,           0.0043468,           0.0099944,             0.00208,             0.00208,             0.00208
                  42,            0.023238,            0.010069,          0.00078094,             0.87927,             0.79077,             0.83735,             0.62584,            0.026124,           0.0043863,            0.010126,            0.001882,            0.001882,            0.001882
                  43,            0.023056,            0.010196,          0.00076098,             0.82139,             0.80543,             0.84442,              0.6355,             0.02559,           0.0041415,           0.0057782,            0.001684,            0.001684,            0.001684
                  44,             0.02209,            0.010035,          0.00068553,             0.86594,             0.78082,             0.84599,             0.63695,            0.025522,           0.0042501,           0.0069054,            0.001486,            0.001486,            0.001486
                  45,            0.022075,            0.009796,          0.00077921,             0.86596,              0.7752,             0.83629,             0.63305,            0.026679,           0.0043153,           0.0094936,            0.001288,            0.001288,            0.001288
                  46,            0.021824,           0.0099904,          0.00063618,             0.87572,             0.76932,             0.83799,             0.63156,            0.025613,           0.0043373,           0.0075662,             0.00109,             0.00109,             0.00109
                  47,            0.021915,           0.0098022,          0.00063321,             0.86719,             0.78298,             0.83925,             0.64498,            0.026449,           0.0042678,           0.0078363,            0.000892,            0.000892,            0.000892
                  48,            0.021491,           0.0097847,          0.00055826,             0.85309,             0.76731,             0.81566,             0.63185,            0.025479,            0.004313,           0.0074969,            0.000694,            0.000694,            0.000694
                  49,            0.020939,           0.0096727,          0.00061457,             0.84414,             0.78487,             0.82774,             0.64256,            0.026072,           0.0042867,            0.007939,            0.000496,            0.000496,            0.000496
